city,route_name,route_type,route_id_numeric,route_sort_order,total_routes,route_type_diversity,transit_richness_score,transit_category
Boston,Alewife Shuttle Route A,3,145185,1.0,390,5,44.205819557360144,Transit-Limited
Boston,Alewife Shuttle Route B,3,145186,2.0,390,5,44.205819557360144,Transit-Limited
Boston,Alewife Shuttle Route C,3,145187,3.0,390,5,44.205819557360144,Transit-Limited
Boston,Alewife Shuttle Route D,3,145188,4.0,390,5,44.205819557360144,Transit-Limited
Boston,Hartwell Area Shuttle (AM),3,145189,5.0,390,5,44.205819557360144,Transit-Limited
Boston,Hartwell Area Shuttle (PM),3,145190,6.0,390,5,44.205819557360144,Transit-Limited
Boston,Commuter,3,15660215,1.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON LOGAN AIRPORT - NEWARK,3,51181250,0.0,390,5,44.205819557360144,Transit-Limited
Boston,NEWARK - BOSTON LOGAN AIRPORT,3,51181251,0.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON SOUTH STATION - NEWARK,3,51181262,0.0,390,5,44.205819557360144,Transit-Limited
Boston,PNEWARK - BOSTON SOUTH STATION,3,51181263,0.0,390,5,44.205819557360144,Transit-Limited
Boston,AMHERST - NORTHAMPTON - BOSTON College Express,3,51181266,1.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON - WORCESTER - HARTFORD - WATERBURY - NEW YORK Express Service,3,51181267,10.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON - WORCESTER - SPRINGFIELD - NORTHAMPTON - AMHERST,3,51181268,12.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON LOGAN AIRPORT - BOSTON - FALMOUTH - WOODS HOLE,3,51181269,13.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON LOGAN AIRPORT - BOSTON - HYANNIS,3,51181270,14.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON LOGAN AIRPORT - BOSTON - PROVIDENCE,3,51181271,15.0,390,5,44.205819557360144,Transit-Limited
Boston,HYANNIS - BOSTON - BOSTON LOGAN AIRPORT,3,51181273,19.0,390,5,44.205819557360144,Transit-Limited
Boston,NEW YORK - BOSTON Express Service,3,51181276,21.0,390,5,44.205819557360144,Transit-Limited
Boston,NEW YORK - WATERBURY - HARTFORD - WORCESTER - BOSTON Express Service,3,51181283,29.0,390,5,44.205819557360144,Transit-Limited
Boston,PROVIDENCE - BOSTON - BOSTON LOGAN AIRPORT,3,51181287,34.0,390,5,44.205819557360144,Transit-Limited
Boston,AMHERST - NORTHAMPTON - SPRINGFIELD - WORCESTER - BOSTON,3,51181292,4.0,390,5,44.205819557360144,Transit-Limited
Boston,WOODS HOLE - FALMOUTH - BOSTON - BOSTON LOGAN AIRPORT,3,51181296,43.0,390,5,44.205819557360144,Transit-Limited
Boston,BOSTON - NEW YORK Express Service,3,51181297,8.0,390,5,44.205819557360144,Transit-Limited
Boston,Spectacle Island,4,56227289,0.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston Express 93 North,3,67361058,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston Express 93 South,3,67361059,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston Express 93 South 401,3,67361060,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston Express 3 North,3,67361061,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston Express 3 South,3,67361062,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Thompson Island,4,71559714,999.0,390,5,44.205819557360144,Transit-Limited
Boston,"Portland, ME to/from Boston & Logan Airport",3,83360608,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Southern NH to/from Boston & Logan Airport,3,83360611,999.0,390,5,44.205819557360144,Transit-Limited
Boston,"Berlin, Littleton, North Conway to/from Boston & Logan Airport via Concord, NH",3,83360612,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Mansfield to Logan Airport,3,83793636,0.0,390,5,44.205819557360144,Transit-Limited
Boston,Middlesex 3 TMA Shuttle,3,84345165,1.0,390,5,44.205819557360144,Transit-Limited
Boston,Hyannis - South Shore to Logan Airport,3,85980039,1.0,390,5,44.205819557360144,Transit-Limited
Boston,Woods Hole to Boston/Logan Airport,3,85980040,0.0,390,5,44.205819557360144,Transit-Limited
Boston,Acton/Concord Commuter,3,90895240,2.0,390,5,44.205819557360144,Transit-Limited
Boston,Ashmont,3,92080140,10.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Albany,3,103936420,999.0,390,5,44.205819557360144,Transit-Limited
Boston,NYC Queens - Boston,3,103936423,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Philadelphia - Washington,3,103936426,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - NYC - Philadelphia,3,103936432,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Albany - Ithaca,3,103936444,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - NYC - Richmond,3,103936449,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Burlington - Montréal,3,103936471,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Newark - Boston,3,103936476,999.0,390,5,44.205819557360144,Transit-Limited
Boston,NYC - Boston,3,103936491,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - New York (Express Service),3,103936518,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Albany - Syracuse,3,103936519,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Philadelphia: Bus Moves,3,103936528,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Burlington: Bus Move,3,103936556,999.0,390,5,44.205819557360144,Transit-Limited
Boston,NYC - Boston,3,103936561,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Portland - Bangor,3,103936562,999.0,390,5,44.205819557360144,Transit-Limited
Boston,New York - Hartford - Boston,3,103936573,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Albany - Syracuse: Bus Moves,3,103936584,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - Fitchburg - New York,3,103936588,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Boston - New York (Weekend Service),3,103936603,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Bus Moves: Boston - Fitchburg - New York,3,103936608,999.0,390,5,44.205819557360144,Transit-Limited
Boston,NYC Chinatown - Boston,3,103936659,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Fast Ferry,4,104540021,1.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597049,0.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597050,1.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597051,10.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597052,11.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597053,12.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597054,13.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597055,14.0,390,5,44.205819557360144,Transit-Limited
Boston,Back Bay,3,104597056,16.0,390,5,44.205819557360144,Transit-Limited
Boston,Braintree,3,104597057,17.0,390,5,44.205819557360144,Transit-Limited
Boston,Framingham,3,104597058,18.0,390,5,44.205819557360144,Transit-Limited
Boston,Woburn,3,104597059,19.0,390,5,44.205819557360144,Transit-Limited
Boston,221,3,104597060,2.0,390,5,44.205819557360144,Transit-Limited
Boston,Danvers,3,104597061,20.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597062,3.0,390,5,44.205819557360144,Transit-Limited
Boston,331,3,104597063,4.0,390,5,44.205819557360144,Transit-Limited
Boston,LOC1,3,104597064,5.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597065,6.0,390,5,44.205819557360144,Transit-Limited
Boston,Unknown,3,104597066,7.0,390,5,44.205819557360144,Transit-Limited
Boston,551,3,104597067,8.0,390,5,44.205819557360144,Transit-Limited
Boston,552,3,104597068,9.0,390,5,44.205819557360144,Transit-Limited
Boston,Georges Island,4,104604749,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Spectacle Island,4,104604750,999.0,390,5,44.205819557360144,Transit-Limited
Boston,Red Line,1,104977904,10010.0,390,5,44.205819557360144,Transit-Limited
Boston,Mattapan Trolley,0,104977905,10011.0,390,5,44.205819557360144,Transit-Limited
Boston,Orange Line,1,104977906,10020.0,390,5,44.205819557360144,Transit-Limited
Boston,Green Line B,0,104977907,10032.0,390,5,44.205819557360144,Transit-Limited
Boston,Green Line C,0,104977908,10033.0,390,5,44.205819557360144,Transit-Limited
Boston,Green Line D,0,104977909,10034.0,390,5,44.205819557360144,Transit-Limited
Boston,Green Line E,0,104977910,10035.0,390,5,44.205819557360144,Transit-Limited
Boston,Blue Line,1,104977911,10040.0,390,5,44.205819557360144,Transit-Limited
Boston,Logan Airport Terminals - South Station,3,104977912,10051.0,390,5,44.205819557360144,Transit-Limited
Boston,Design Center - South Station,3,104977913,10052.0,390,5,44.205819557360144,Transit-Limited
Boston,Chelsea Station - South Station,3,104977914,10053.0,390,5,44.205819557360144,Transit-Limited
Boston,Nubian Station - South Station,3,104977915,10055.0,390,5,44.205819557360144,Transit-Limited
Boston,Nubian Station - Temple Place,3,104977916,10056.0,390,5,44.205819557360144,Transit-Limited
Boston,Silver Line Way - South Station,3,104977917,10057.0,390,5,44.205819557360144,Transit-Limited
Boston,Fairmount Line,2,104977918,20001.0,390,5,44.205819557360144,Transit-Limited
Boston,Fall River/New Bedford Line,2,104977919,20002.0,390,5,44.205819557360144,Transit-Limited
Boston,Fitchburg Line,2,104977920,20003.0,390,5,44.205819557360144,Transit-Limited
Boston,Framingham/Worcester Line,2,104977921,20004.0,390,5,44.205819557360144,Transit-Limited
Boston,Franklin/Foxboro Line,2,104977922,20005.0,390,5,44.205819557360144,Transit-Limited
Boston,Greenbush Line,2,104977923,20006.0,390,5,44.205819557360144,Transit-Limited
Boston,Haverhill Line,2,104977924,20007.0,390,5,44.205819557360144,Transit-Limited
Boston,Kingston Line,2,104977925,20008.0,390,5,44.205819557360144,Transit-Limited
Boston,Lowell Line,2,104977926,20009.0,390,5,44.205819557360144,Transit-Limited
Boston,Needham Line,2,104977927,20011.0,390,5,44.205819557360144,Transit-Limited
Boston,Newburyport/Rockport Line,2,104977928,20012.0,390,5,44.205819557360144,Transit-Limited
Boston,Providence/Stoughton Line,2,104977929,20013.0,390,5,44.205819557360144,Transit-Limited
Boston,Foxboro Event Service,2,104977930,20014.0,390,5,44.205819557360144,Transit-Limited
Boston,CapeFLYER,2,104977931,21000.0,390,5,44.205819557360144,Transit-Limited
Boston,Charlestown Ferry,4,104977932,30001.0,390,5,44.205819557360144,Transit-Limited
Boston,Hingham/Hull Ferry,4,104977933,30002.0,390,5,44.205819557360144,Transit-Limited
Boston,East Boston Ferry,4,104977934,30005.0,390,5,44.205819557360144,Transit-Limited
Boston,Lynn Ferry,4,104977935,30007.0,390,5,44.205819557360144,Transit-Limited
Boston,Winthrop Ferry,4,104977936,30008.0,390,5,44.205819557360144,Transit-Limited
Boston,Quincy Ferry,4,104977937,30009.0,390,5,44.205819557360144,Transit-Limited
Boston,Sullivan Square Station - Ruggles Station,3,104977939,40020.0,390,5,44.205819557360144,Transit-Limited
Boston,Beth Israel Deaconess Hospital - Andrew Station,3,104977940,40030.0,390,5,44.205819557360144,Transit-Limited
Boston,Harvard Square - Nubian Station,3,104977941,50010.0,390,5,44.205819557360144,Transit-Limited
Boston,North Station - Design Center,3,104977942,50040.0,390,5,44.205819557360144,Transit-Limited
Boston,City Point - Otis Street & Summer Street,3,104977943,50070.0,390,5,44.205819557360144,Transit-Limited
Boston,Harbor Point - Kenmore Station,3,104977944,50080.0,390,5,44.205819557360144,Transit-Limited
Boston,City Point - Copley Square,3,104977945,50090.0,390,5,44.205819557360144,Transit-Limited
Boston,City Point - Arlington Station,3,104977946,50100.0,390,5,44.205819557360144,Transit-Limited
